YEAR,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1984,43113,80587,53362,39038,62981,64261,74597,64306,50829,49277,49773,71922,52533,59158,56712,49472,61342,44034,47195,51427,73992,67145,57197,60861,38431,51743,48657,53292,64199,64542,69180,51382,54861,51230,51733,57591,52672,53297,50674,53828,50582,48341,41798,57344,57427,56234,66064,62308,41950,51663,59317
1985,44145,83754,57495,42021,64969,67861,74864,55335,50750,51393,50685,69737,49992,59886,54601,50392,54873,41805,50998,49409,72566,67922,58374,57444,39522,52828,48728,52491,56043,63578,74599,49178,56922,51653,51061,60618,51061,52720,55087,59296,48246,43685,42809,57172,60772,62607,68456,57791,38487,55976,53170
1986,45277,74205,60347,44325,68654,64351,77436,60645,57559,54073,57673,68637,49104,62740,53787,53150,56622,47033,49437,55434,72426,71799,62962,62579,39079,51887,48107,51524,62044,72293,75055,46964,59223,51735,50900,59436,49574,58626,56340,62808,51988,47090,43204,57181,62195,58215,70322,63615,38963,62548,55754
1987,45148,76032,61198,43073,68969,60573,75183,66906,62813,56027,61117,80125,47484,61964,51520,50767,58530,47297,48843,53993,80006,73762,63378,64247,42355,54268,46841,53234,61493,73984,78338,47491,60362,52071,51650,58965,49626,57283,58166,64728,57308,48390,48454,56558,60694,58146,68626,62502,39367,60328,63122
1988,44047,73094,58371,44541,66876,57883,79961,67357,59046,56098,58660,72920,51779,65191,58057,53667,56452,43956,45259,58298,80710,73337,65077,64226,40112,51764,49088,55553,61789,76455,80125,42607,63847,53910,53197,61252,52259,61270,59048,65894,56379,49227,46052,55120,58101,64008,72089,71381,42733,65304,58335
1989,45028,76174,60404,45343,69833,56710,89534,67843,56596,55185,58268,74120,52158,66218,54790,55566,56829,49257,48364,59704,76195,76343,65107,63859,42136,56057,50123,55680,62071,79402,82762,47817,66633,55864,53374,61396,50070,60356,60696,63730,50347,51003,47836,54764,64985,66207,72180,67616,45860,61612,62454
1990,47092,79231,58921,45940,67118,61963,78369,62106,55227,53801,55568,78471,51019,65610,54291,55017,60318,49961,45172,55372,78342,73080,60358,63439,40682,55106,47128,55408,64564,82270,78094,50483,63693,53084,50937,60511,49162,59035,58479,64453,57935,49539,45549,56912,60771,62699,70713,64743,44632,61919,59396
1991,47363,79006,59796,45590,65490,61278,82006,63391,58138,53016,52938,72458,50806,62027,52699,55547,56990,46230,49216,54214,71886,69478,62480,57348,37887,54327,48298,57484,64075,70096,77911,51631,61852,52240,50370,57953,49534,58731,59076,59988,53426,47933,47571,53952,54502,56718,70301,66085,45030,60566,56514
1992,48989,79348,55727,45333,66253,61661,77524,67724,57415,51914,54662,79939,52588,59890,54155,54560,57603,44579,48288,56219,70618,69016,61249,58808,39046,51936,50350,57037,60568,74857,74029,49087,58941,52715,51173,59611,47994,60604,56722,57766,52348,49845,46160,53060,65015,62175,72507,64349,38478,63225,57342
1993,46440,79487,56490,42657,63086,63855,73164,66773,50554,52861,58624,78989,57415,60835,54573,53070,55119,45132,48717,50802,73947,68624,60474,62362,41087,53105,49009,57412,66310,70291,74986,49543,58687,53360,52061,57924,48621,61355,57387,62042,48237,51355,46477,53188,66258,57517,67456,66016,41513,58815,54512
1994,49324,82279,56754,46366,64078,68615,74535,65061,54619,53129,57070,76635,57195,63624,50524,59993,51366,48234,46567,54982,71091,73452,63992,61018,46066,54754,50113,57663,65057,63922,76681,48796,57853,54616,51286,57773,48952,57050,58156,57906,54130,53925,51941,55778,64776,64932,68278,60817,42737,64181,60104
1995,46029,84925,54658,45716,65542,72089,71269,61857,54454,52678,60388,75888,57868,67423,59124,62903,53733,52793,49497,59962,72682,68313,64509,67178,46998,61674,49157,58316,63904,69371,77788,46029,58492,56634,51516,61880,46596,64417,61141,62620,51484,52382,51385,56740,64605,59901,64148,62990,44062,72530,55837
1996,52272,91045,54575,46788,66952,70640,72657,67809,55142,52857,56057,72058,59874,68232,60630,57287,56210,55913,52203,59852,75889,68128,67664,70711,46019,59108,49481,58675,66483,67978,81884,43274,61083,61413,54287,58772,47330,61225,60202,63802,59798,50933,53114,57050,63892,55819,67640,63267,43552,69003,53395
1997,53930,81039,55283,44175,67025,73000,74270,72663,53797,54801,61907,69118,56404,69708,65665,57044,61582,56485,56161,55337,78829,70957,65417,71871,48121,61721,49325,58579,65606,69226,81085,50801,60446,60517,53461,61013,52937,62893,63349,58756,57852,50139,51730,59225,72227,59188,72534,75244,46414,66857,56436
1998,60418,84451,61791,46089,68195,77633,77481,69068,55698,58157,64415,68017,61108,71933,66191,61673,61159,60395,52870,59375,83325,70546,69673,79843,48513,66974,52606,60663,66232,74899,83009,52550,62297,59705,50486,64848,56188,65084,64998,67782,55422,54621,56795,59613,73801,65593,72226,79002,44488,68850,58725
1999,59134,83839,60348,48418,71169,78588,82529,76061,63080,58449,64311,72596,58398,75575,66616,67040,60923,55035,53266,63393,85159,71782,75182,76730,52979,67505,50630,63008,67633,75127,81128,53136,65231,60770,53281,64416,53314,66259,61592,69685,59478,58444,59576,63109,75118,67833,74536,74177,47790,74494,60760
2000,55888,83377,62766,46853,73862,76108,79156,79461,65036,61303,66107,81324,59339,72675,64473,64671,64779,57215,48464,58795,86040,73762,71804,85592,54113,71149,51712,65869,72192,80346,79524,55366,64282,60453,56791,67781,51168,67051,66541,66574,59274,57547,53793,60913,75020,62467,74409,67092,46402,71135,62523
2001,53936,87996,65509,51143,72501,75776,81836,76091,63154,55871,65313,72773,58663,70827,61942,62858,63532,58963,51117,56164,82116,80157,69103,80814,46268,63415,49282,66900,69649,78743,79418,50813,64604,58541,54907,64099,54625,63314,66729,70140,57888,60856,54892,62680,72624,62579,77071,65181,45519,69562,60930
2002,56789,79700,60007,48911,71640,72935,80626,74982,59004,57425,64847,71438,56958,64501,61990,61993,64364,55519,51360,55656,85187,75292,64509,82491,46639,64601,52608,64631,67896,83547,82410,53548,63378,55146,54670,64462,55060,63130,64181,64059,57104,57197,55923,60634,72281,64938,74954,68236,44339,69324,60051
2003,55014,76547,60789,47257,72801,73746,81166,72386,66516,57549,62668,76542,62570,66677,62648,61111,65317,54543,49479,54804,77251,75244,66483,78003,48329,64623,50367,64936,66722,82055,82761,51839,63184,55049,59673,64265,53016,61486,63398,66024,56821,58362,55410,57991,72764,63883,80897,70154,48381,68325,62840
2004,52667,79172,63043,50301,70773,73166,79225,69087,62475,58283,58928,80867,63780,66251,60862,62389,59046,51201,52379,59424,82105,74795,60757,80668,49972,60586,48823,62957,67872,81691,79476,56884,64198,57856,56392,61906,56959,58943,63417,68923,55631,59105,54741,59522,73144,68051,73532,71780,47985,65755,65274
2005,51666,77729,62924,50981,71977,70161,79042,71254,62573,59787,63871,82868,61437,67308,59018,64669,58448,51038,51785,61085,84156,77904,63880,75398,45720,59782,51892,66648,67046,79249,88128,54165,65609,58488,58678,61474,52354,61413,64391,68819,55949,60011,54803,57607,76230,70515,72198,70435,50685,62096,62191
2006,51124,75999,62850,49918,74518,75027,84062,70637,65302,61528,66469,81457,62252,65563,61166,64829,61361,53189,49152,61483,85765,74533,65531,75720,46788,60051,55371,64854,70427,83477,91680,53920,64958,53609,55293,61830,52317,63435,65302,72386,53367,61193,54816,58337,73587,70022,76943,73715,51753,69632,63367
2007,55294,82515,61848,53438,73007,80089,84019,71507,66521,59986,63716,83863,64427,68778,62159,64065,63527,51679,54117,62737,85970,76582,64670,76051,48832,60263,57184,64414,70811,88519,79260,58103,64112,56998,61835,64315,56609,65805,63448,71010,57915,60804,53962,60325,70118,62077,77496,76080,55136,67168,63850
2008,56105,80720,59180,49936,71921,76877,81594,63959,70125,56585,58314,77606,59818,67178,58683,63252,60395,51907,49907,59576,80369,76091,62806,69286,45975,58075,54117,63991,69057,83478,82381,53110,63655,54155,62608,59205,58167,65252,64842,67161,53177,65091,50083,58645,78888,63964,78192,71438,47928,64587,67283
2009,50609,77982,57899,46252,71058,70800,82092,65969,67269,57763,54862,70444,59215,66926,56084,64206,56606,54007,57512,60131,81251,75158,58222,71002,44404,61735,51188,62780,65108,81181,81999,55118,63567,53047,63388,58077,58075,62151,60979,65362,52028,58009,51289,60097,74042,66227,76586,76448,51255,64859,66420
2010,50975,72039,58400,48053,67600,75009,82189,68759,70893,54876,54940,74145,58592,63173,57458,61041,57352,51188,48941,59689,79951,75882,57628,65156,47521,57057,51407,65384,63760,82979,78415,56206,61993,54582,63519,57143,53677,63016,60166,64287,51927,56478,48058,58861,70611,69648,75176,69941,53271,62703,65007
2011,51417,69334,58698,49862,64428,70781,78973,65989,66702,54454,55501,71285,57295,61132,53657,60627,55712,48117,49085,59992,83151,76435,59010,69804,49606,55261,48625,67143,56793,79534,75258,50683,61131,54575,68042,53902,58498,62205,60254,59196,48392,57011,51042,59213,66995,62611,75594,68633,50489,62848,65807
2012,51384,75246,55616,46128,67410,67688,75954,57896,77135,54466,56890,66515,56654,61166,54569,63180,59115,48573,46207,58116,84926,75256,59129,73055,43318,58832,53304,61707,55958,80177,78845,51337,56368,49125,65928,52461,57228,61210,61362,66281,52492,58420,50830,61388,68972,65710,76409,73519,51489,62751,67992
2013,55126,84427,61290,45872,70823,79115,80721,63014,69964,56538,54744,74831,56462,62835,57613,70080,55709,52282,54083,64023,80794,72844,65898,74935,37673,53941,50328,67129,60399,80498,74271,46792,58209,53981,68910,59120,53777,57082,64255,65614,50749,62224,50514,59886,71118,76320,76779,74467,50174,60259,78566
2014,48432,77473,56424,51461,69292,69811,80374,65895,78216,52856,56768,81591,61217,62910,55056,66225,61224,49014,48579,59237,87252,72344,59575,77032,40692,64873,58541,65148,57135,84081,74740,53482,62216,53594,69570,56870,54069,67445,63204,67168,51469,60776,50079,61717,72609,69545,75785,67666,45309,66534,63796
2015,50900,85898,59751,48944,72774,76159,83355,66049,80133,55836,58058,73778,59037,69088,59447,69593,62743,48474,52516,58044,84162,77605,61986,78599,45786,67696,58775,69158,59476,86541,78173,51598,66334,58091,65659,60955,53837,69569,69061,63699,53017,62972,54126,64582,75772,68037,70315,76899,48973,63384,69673
2016,53314,85494,64468,51830,75235,79671,85720,65536,80141,57779,60434,81440,63863,69307,63332,66719,64140,51223,47641,57418,83277,81591,64458,79278,46402,62115,64440,67035,62583,86100,77303,54703,69364,60701,67950,60951,57516,66765,68847,69467,61347,64863,57969,65649,76188,68687,75025,79382,50077,67535,65291
2017,56219,86196,65984,54988,77410,82877,82125,71799,89838,58674,64089,81346,65760,72913,64953,70148,62889,54901,48151,58928,90734,84269,62342,77341,47837,62481,63450,65855,64151,83591,78739,50401,68021,54762,66500,67076,57343,69077,67736,72285,60278,62905,61128,66417,77135,70385,78265,79071,51900,70164,65803
2018,53879,74161,67201,53712,76055,78801,78561,70145,92521,58959,60229,86433,63365,75684,64621,74144,68987,58863,53919,63295,93031,93163,65222,77488,46159,66600,62233,72911,66749,87769,80033,52096,72586,57583,71756,66500,58732,74626,69619,67183,61980,64158,60487,64506,83152,75599,83243,86021,54566,67574,67477
2019,59558,83079,74897,57799,82772,76832,92507,78628,98675,61856,60012,93265,69932,78845,70679,70002,77523,58989,54797,70523,101283,92949,67951,86292,47463,64218,63792,77437,75143,92093,92969,56287,76149,64814,74216,68527,62946,78860,74800,74344,65735,68095,60011,71474,89574,78746,86172,87381,56916,71380,69027
2020,57243,78236,70220,53148,81278,87689,83141,73292,92337,60460,62033,84600,69841,77805,69925,72030,76495,59405,53576,66667,99215,91912,67399,82431,47242,65081,59390,75622,64020,93045,89543,53283,71865,63252,67109,63198,54921,80443,74094,83918,63159,73467,57542,71599,87915,70398,86053,85157,54396,70553,68506
2021,56929,81133,70821,50784,81575,84954,80958,68687,90640,59734,61497,82199,76918,79253,70190,72429,75979,55629,57206,71139,97332,86566,64488,80441,46637,63594,64999,78109,64340,88841,88559,53463,72920,62891,68882,62689,60096,81855,72627,74982,62542,73893,62166,67404,87649,76079,80268,87648,46836,69943,71052
